geounit,Polio,PAB,Hib3,HepB,DTP
Afghanistan,75,70,75,75,75
Aland,0,0,0,0,0
Albania,98,92,98,98,98
Algeria,95,92,95,95,95
American Samoa,0,0,0,0,0
Andorra,97,0,97,96,97
Angola,81,0,80,80,80
Anguilla,0,0,0,0,0
Antarctica,0,0,0,0,0
Antigua and Barbuda,96,0,99,99,99
Argentina,92,0,94,94,94
Armenia,95,0,93,93,93
Aruba,0,0,0,0,0
Ashmore and Cartier Islands,0,0,0,0,0
Australia,92,0,91,91,92
Austria,83,0,83,83,83
Azerbaijan,97,0,94,94,94
Bahrain,99,98,99,99,99
Bangladesh,99,96,95,95,95
Barbados,95,0,94,94,94
Belarus,97,0,20,97,97
Belgium,99,0,98,98,99
Belize,95,91,95,95,95
Benin,72,93,70,70,70
Bermuda,0,0,0,0,0
Bhutan,72,83,99,99,99
Bolivia,95,87,94,94,94
Bosnia and Herzegovina,86,0,79,89,86
Botswana,96,92,96,95,95
Brazil,96,93,95,96,93
British Indian Ocean Territory,0,0,0,0,0
British Virgin Islands,0,0,0,0,0
Brunei,99,95,96,99,99
Bulgaria,88,0,83,95,88
Burkina Faso,91,89,91,91,91
Burundi,95,85,95,95,95
Cambodia,98,91,97,97,97
Cameroon,86,85,87,87,87
Canada,96,0,96,75,96
Cape Verde,0,0,95,95,95
Cayman Islands,0,0,0,0,0
Central African Republic,47,60,47,47,47
Chad,54,60,46,46,46
Chile,92,0,92,92,92
China,99,0,0,99,99
Colombia,91,60,90,90,90
Comoros,79,85,80,80,80
Cook Islands,99,0,99,99,99
Costa Rica,91,0,91,91,91
Croatia,95,0,95,95,95
Cuba,99,0,96,96,96
Curaçao,0,0,0,0,0
Cyprus,99,0,96,96,99
Czech Republic,99,0,99,99,99
Democratic Republic of the Congo,79,82,80,80,80
Denmark,94,0,94,0,94
Djibouti,78,80,78,78,78
Dominica,97,0,97,97,97
Dominican Republic,90,90,87,89,91
East Timor,0,0,0,0,0
Ecuador,84,85,83,83,83
Egypt,94,86,94,94,94
El Salvador,93,90,93,93,93
Equatorial Guinea,30,70,24,24,24
Eritrea,94,94,94,94,94
Estonia,93,0,93,93,93
Ethiopia,75,80,77,77,77
Falkland Islands,0,0,0,0,0
Faroe Islands,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0
Fiji,99,94,99,99,99
Finland,98,0,98,0,98
France,99,0,98,82,99
French Polynesia,0,0,0,0,0
